CIR,2007_EX,2007_ES,2008_EX,2008_ES,2009_EX,2009_ES,2010_EX,2010_ES,2012_EX,2012_ES,2013_EX,2013_ES,2014_EX,2014_ES,2015_EX,2015_ES
35072,0.22839506172839505,0.2073342736248237,0.2164024810475534,0.20984215413184773,0.21469691838807992,0.2137546468401487,0.2158126908720733,0.21809744779582366,0.24262536873156343,0.22278364722094626,0.24275498682724878,0.2281439925198691,0.23479923518164436,0.22999080036798528,0.2374157748711851,0.2370472260430995
35073,0.033607681755829906,0.052656323460272686,0.044796691936595454,0.05385329619312906,0.041991195394514055,0.05436802973977695,0.044451985069562265,0.05522041763341067,0.051622418879056046,0.058337161231051905,0.05344373353406097,0.05890603085553997,0.05430210325047801,0.05841766329346826,0.05667855727308759,0.062356717102246675
35081,0.03017832647462277,0.028678890456041373,0.03170227429359063,0.027390900649953576,0.032170673890958346,0.02695167286245353,0.028503562945368172,0.026450116009280742,0.021755162241887907,0.026182820395039046,0.02182913059841927,0.02758298270219729,0.023326959847036328,0.027598896044158234,0.024177566389219182,0.028427326914259515
35092,0.029835390946502057,0.013164080865068171,0.029634734665747762,0.012999071494893221,0.028107009820521504,0.01254646840148699,0.029521547336274177,0.012993039443155453,0.03355457227138643,0.0133210840606339,0.03424915318027851,0.012155212716222535,0.03365200764818355,0.012419503219871205,0.033690051525961155,0.012838147638697846
35093,0.02880658436213992,0.020686412787964268,0.02722260509993108,0.020891364902506964,0.033863867253640365,0.02184014869888476,0.03155751611808619,0.02134570765661253,0.02728613569321534,0.022967386311437757,0.030109145652992095,0.02244039270687237,0.030592734225621414,0.021619135234590615,0.03170828378913991,0.022925263640531865
35094,0.022976680384087792,0.011753643629525154,0.02446588559614059,0.012070566388115135,0.024381984422621062,0.01254646840148699,0.024092297251442144,0.012529002320185615,0.02691740412979351,0.01240238860817639,0.029356417011667295,0.01168770453482936,0.030210325047801148,0.011499540018399264,0.029726516052318668,0.01192113709307657
35101,0.014060356652949246,0.018335684062059238,0.015851137146795313,0.018570102135561744,0.01760921097189299,0.01858736059479554,0.018663047166610113,0.018561484918793503,0.022861356932153392,0.018833256775378962,0.024087316522393678,0.0182328190743338,0.023709369024856597,0.018859245630174794,0.026159334126040427,0.01879871618523613
35102,0.019204389574759947,0.019746121297602257,0.02033080634045486,0.019962859795728878,0.01930240433457501,0.019981412639405203,0.013912453342382083,0.01948955916473318,0.015117994100294985,0.020211299954065228,0.016560030109145654,0.019635343618513323,0.016826003824091777,0.019779208831646734,0.0186286167261197,0.020174232003668042
35103,0.042866941015089165,0.036671368124118475,0.043418332184700204,0.03714020427112349,0.04300711141212327,0.0362453531598513,0.04309467254835426,0.035266821345707654,0.042404129793510326,0.03812586127698668,0.04403462551750094,0.03880317905563347,0.045889101338432124,0.03863845446182153,0.04637336504161712,0.03943145346171481
35104,0.006858710562414266,0.012223789374706159,0.00861474844934528,0.012070566388115135,0.008804605485946495,0.012081784386617101,0.009161859518154056,0.012064965197215777,0.01327433628318584,0.01423977951309141,0.015054572826496047,0.012622720897615708,0.01491395793499044,0.013339466421343146,0.014268727705112961,0.013755158184319119
35112,0.020233196159122085,0.022566995768688293,0.021364576154376293,0.022284122562674095,0.020656959024720624,0.022304832713754646,0.02002035968781812,0.022737819025522042,0.022123893805309734,0.022967386311437757,0.023334587881068874,0.022907900888265546,0.02829827915869981,0.023459061637534497,0.030519223147047168,0.024300779458963778
35115,0.00205761316872428,0.0,0.0031013094417643005,0.0,0.0033863867253640365,0.0,0.0033932813030200203,0.0,0.003687315634218289,0.0009186954524575103,0.002258185923974407,0.0,0.0019120458891013384,0.0,0.0015854141894569957,0.0004585052728106373
35121,0.009945130315500686,0.020216267042783263,0.007925568573397657,0.019498607242339833,0.008804605485946495,0.019052044609665426,0.009161859518154056,0.018097447795823667,0.012168141592920354,0.018373909049150206,0.014301844185171246,0.017765310892940627,0.014531548757170172,0.017939282428702852,0.015061434799841459,0.01879871618523613
35131,0.03737997256515775,0.027268453220498354,0.042384562370778776,0.027390900649953576,0.041991195394514055,0.02741635687732342,0.04207668815744825,0.02691415313225058,0.044616519174041296,0.0266421681212678,0.04930372600677456,0.025712949976624593,0.04206500956022945,0.02667893284268629,0.04201347602061038,0.026593305823016965
35132,0.05384087791495199,0.0540667606958157,0.05444521019986216,0.05478180129990715,0.05282763291567897,0.055762081784386616,0.05293518832711232,0.057076566125290024,0.052728613569321535,0.05787781350482315,0.05306736921339857,0.0584385226741468,0.05430210325047801,0.059337626494940204,0.05747126436781609,0.0614397065566254
35141,0.01954732510288066,0.01692524682651622,0.02033080634045486,0.016713091922005572,0.019641043007111413,0.016728624535315983,0.019341703427214117,0.01716937354988399,0.028392330383480827,0.018373909049150206,0.03424915318027851,0.0182328190743338,0.03518164435946463,0.017479300827966882,0.0364645263575109,0.01879871618523613
35151,0.030521262002743483,0.015044663845792195,0.030668504479669192,0.015784586815227482,0.028107009820521504,0.01533457249070632,0.02646759416355616,0.014385150812064965,0.024705014749262538,0.015617822691777675,0.02559277380504328,0.014960261804581581,0.025621414913957936,0.01517939282428703,0.025762980578676178,0.015130674002751032
35153,0.006515775034293553,0.0009402914903620122,0.005513439007580979,0.001392757660167131,0.0033863867253640365,0.0009293680297397769,0.0033932813030200203,0.0009280742459396752,0.0058997050147492625,0.0013780431786862655,0.0060218291305984195,0.001402524544179523,0.005353728489483747,0.0013799448022079118,0.005152596115735236,0.001375515818431912
35155,0.05727023319615912,0.039492242595204514,0.057201929703652656,0.0403899721448468,0.05485946495089739,0.041821561338289966,0.055989141499830336,0.041299303944315545,0.06747787610619468,0.04271933853927423,0.07188558524651863,0.043478260869565216,0.07265774378585087,0.04553817847286108,0.06420927467300833,0.0453920220082531
35157,0.013031550068587106,0.006582040432534086,0.013783597518952447,0.0064995357474466105,0.014222824246528954,0.006505576208178439,0.015269765863590091,0.0069605568445475635,0.014380530973451327,0.0078089113458888375,0.014301844185171246,0.0074801309022907905,0.014531548757170172,0.007359705611775529,0.01466508125247721,0.008253094910591471
35161,0.027434842249657063,0.03244005641748942,0.024121295658166782,0.031569173630454965,0.029800203183203523,0.031598513011152414,0.03155751611808619,0.032018561484918794,0.03466076696165192,0.03307303628847037,0.03838916070756492,0.03319308087891538,0.03977055449330784,0.03311867525298988,0.03963535473642489,0.033470884915176524
