CIR,2007,2008,2009,2010,2012,2013,2014,2015
25009,0.12,0.18,0.21,0.22,0.32,0.3,0.29,0.22
25016,0.33,0.39,0.39,0.42,0.37,0.38,0.43,0.48
26001,0.36,0.37,0.34,0.36,0.34,0.37,0.42,0.41
26002,0.21,0.25,0.32,0.35,0.36,0.32,0.34,0.34
26003,0.17,0.16,0.19,0.19,0.19,0.2,0.24,0.25
26004,0.17,0.18,0.19,0.19,0.25,0.23,0.25,0.27
26008,0.27,0.27,0.33,0.39,0.34,0.35,0.39,0.4
26009,0.15,0.17,0.22,0.24,0.17,0.17,0.15,0.17
26010,0.17,0.17,0.19,0.19,0.2,0.19,0.22,0.21
26011,0.46,0.53,0.51,0.53,0.57,0.62,0.54,0.46
26012,0.41,0.5,0.51,0.46,0.47,0.5,0.58,0.55
27001,0.27,0.29,0.28,0.3,0.35,0.37,0.42,0.35
27005,0.15,0.16,0.2,0.23,0.25,0.26,0.28,0.31
27006,0.15,0.14,0.2,0.22,0.22,0.22,0.26,0.39
27007,0.24,0.24,0.23,0.25,0.27,0.22,0.22,0.22
27008,0.08,0.09,0.1,0.11,0.14,0.15,0.18,0.19
28001,0.19,0.22,0.26,0.29,0.26,0.24,0.27,0.26
28002,0.13,0.11,0.13,0.13,0.26,0.19,0.09,0.08
28003,0.16,0.15,0.16,0.15,0.16,0.13,0.15,0.15
28004,0.14,0.11,0.14,0.15,0.14,0.09,0.09,0.08
28005,0.1,0.0,0.0,0.01,0.05,0.08,0.16,0.16
28006,0.08,0.06,0.06,0.14,0.12,0.04,0.05,0.04
28007,0.17,0.11,0.14,0.16,0.17,0.09,0.11,0.1
29001,0.25,0.23,0.28,0.26,0.23,0.24,0.26,0.24
29002,0.28,0.25,0.25,0.23,0.25,0.21,0.21,0.2
29003,0.28,0.3,0.3,0.31,0.34,0.3,0.3,0.31
29004,0.18,0.17,0.16,0.15,0.17,0.17,0.2,0.19
29005,0.22,0.24,0.25,0.27,0.24,0.25,0.32,0.31
29006,0.28,0.31,0.29,0.27,0.25,0.26,0.32,0.31
29007,0.38,0.35,0.37,0.38,0.35,0.33,0.36,0.4
29009,0.32,0.33,0.26,0.26,0.25,0.22,0.27,0.28
